CREATION_DATE            =      2018-05-27T21:56:05
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
TYPE			 =	FAMILY
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L1
ORBIT NUMBER             =      709
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.1350315830   2.7822657676   0.8269115414  -0.0908661494   0.2057223328
   3.1341080437   2.7827218692   0.8270247787  -0.0918599236   0.2067988821
   3.1331788248   2.7831632510   0.8271398345  -0.0928534915   0.2078703673
   3.1322440303   2.7835892196   0.8272567070  -0.0938468506   0.2089366273
   3.1313037573   2.7839988997   0.8273753914  -0.0948399975   0.2099975449
   3.1303581032   2.7843914146   0.8274958860  -0.0958329295   0.2110529952
   3.1294071682   2.7847659644   0.8276181854  -0.0968256435   0.2121028512
   3.1284510484   2.7851216267   0.8277422892  -0.0978181368   0.2131469930
   3.1274898405   2.7854574863   0.8278681962  -0.0988104060   0.2141853032
   3.1265236404   2.7857726020   0.8279959060  -0.0998024481   0.2152176679
   3.1255525432   2.7860660060   0.8281254191  -0.1007942596   0.2162439762
   3.1245766430   2.7863367024   0.8282567368  -0.1017858373   0.2172641197
   3.1235960334   2.7865836665   0.8283898615  -0.1027771777   0.2182779928
   3.1226108070   2.7868058436   0.8285247966  -0.1037682770   0.2192854919
   3.1216210609   2.7870021901   0.8286615485  -0.1047591314   0.2202864882
   3.1206268759   2.7871715079   0.8288001197  -0.1057497367   0.2212809366
   3.1196283469   2.7873126815   0.8289405193  -0.1067400892   0.2222687127
   3.1186255633   2.7874245223   0.8290827559  -0.1077301841   0.2232497204
   3.1176186135   2.7875058057   0.8292268401  -0.1087200168   0.2242238636
   3.1166075868   2.7875552522   0.8293727837  -0.1097095823   0.2251910415
   3.1155925657   2.7875715936   0.8295206002  -0.1106988752   0.2261511792
   3.1145736380   2.7875534699   0.8296703057  -0.1116878900   0.2271041737
   3.1135508843   2.7874994870   0.8298219160  -0.1126766206   0.2280499565
   3.1125243968   2.7874082256   0.8299754548  -0.1136650610   0.2289883882
   3.1114942548   2.7872782003   0.8301309425  -0.1146532036   0.2299193988
   3.1104605429   2.7871078926   0.8302884054  -0.1156410414   0.2308428805
   3.1094233379   2.7868957045   0.8304478677  -0.1166285663   0.2317587666
   3.1083827218   2.7866400098   0.8306093610  -0.1176157703   0.2326669492
   3.1073387747   2.7863391185   0.8307729183  -0.1186026441   0.2335673310
   3.1062915755   2.7859912818   0.8309385757  -0.1195891780   0.2344598131
   3.1052412022   2.7855946894   0.8311063728  -0.1205753613   0.2353442942
   3.1041877323   2.7851474669   0.8312763524  -0.1215611829   0.2362206701
   3.1031312386   2.7846476589   0.8314485596  -0.1225466305   0.2370888540
   3.1020718048   2.7840932790   0.8316230483  -0.1235316912   0.2379486955
   3.1010095031   2.7834822295   0.8317998715  -0.1245163504   0.2388000994
   3.0999444085   2.7828123469   0.8319790885  -0.1255005930   0.2396429465
   3.0988765938   2.7820813873   0.8321607626  -0.1264844026   0.2404771215
   3.0978061371   2.7812870214   0.8323449638  -0.1274677614   0.2413024762
   3.0967331111   2.7804268312   0.8325317657  -0.1284506499   0.2421188832
   3.0956575897   2.7794983053   0.8327212477  -0.1294330476   0.2429261995
   3.0945796474   2.7784988347   0.8329134956  -0.1304149317   0.2437242742
   3.0934993585   2.7774257075   0.8331086010  -0.1313962781   0.2445129484
   3.0924167979   2.7762761045   0.8333066622  -0.1323770604   0.2452920541
   3.0913320412   2.7750470932   0.8335077846  -0.1333572501   0.2460614134
   3.0902451679   2.7737356477   0.8337120814  -0.1343368162   0.2468208221
   3.0891562491   2.7723385511   0.8339196721  -0.1353157252   0.2475701093
   3.0880653663   2.7708525160   0.8341306861  -0.1362939410   0.2483090470
   3.0869726040   2.7692741683   0.8343452605  -0.1372714240   0.2490373926
   3.0858780371   2.7675997945   0.8345635428  -0.1382481316   0.2497549330
   3.0847817540   2.7658257226   0.8347856893  -0.1392240173   0.2504613954
   3.0836838434   2.7639480561   0.8350118673  -0.1401990306   0.2511564984
   3.0825843942   2.7619627519   0.8352422540  -0.1411731166   0.2518399560
