CREATION_DATE        =      2018-05-21T13:44:47
ORIGINATOR           =      ASTOS SOLUTIONS GMBH

META_START
LAGRANGIAN           =      L1
ORBIT NUMBER         =      10000
ORBIT DISTANCE       =      0.000100
MASS RATIO           =      0.0121439878
META_STOP

DATA_START

        JC           Period           x              z            dy/dt
   2.9610037420   2.0686502676   0.9319097070  -0.2748669083   0.0824528284
   2.9609185281   2.0691605565   0.9318965223  -0.2749660413   0.0824416785
   2.9608333162   2.0696706529   0.9318832970  -0.2750651683   0.0824306180
   2.9607481054   2.0701805677   0.9318700288  -0.2751642899   0.0824196525
   2.9606628963   2.0706902947   0.9318567190  -0.2752634058   0.0824087787
   2.9605776886   2.0711998344   0.9318433676  -0.2753625161   0.0823979964
   2.9604924824   2.0717091861   0.9318299749  -0.2754616208   0.0823873054
   2.9604072777   2.0722183495   0.9318165409  -0.2755607199   0.0823767054
   2.9603220744   2.0727273242   0.9318030657  -0.2756598134   0.0823661961
   2.9602368726   2.0732361098   0.9317895494  -0.2757589014   0.0823557773
   2.9601516724   2.0737447021   0.9317759931  -0.2758579837   0.0823454462
   2.9600664734   2.0742531087   0.9317623949  -0.2759570606   0.0823352075
   2.9599812760   2.0747613218   0.9317487567  -0.2760561317   0.0823250568
   2.9598960801   2.0752693434   0.9317350781  -0.2761551973   0.0823149949
   2.9598108855   2.0757771769   0.9317213580  -0.2762542574   0.0823050242
   2.9597256927   2.0762848103   0.9317075998  -0.2763533117   0.0822951370
   2.9596405007   2.0767922645   0.9316937978  -0.2764523607   0.0822853462
   2.9595553106   2.0772995205   0.9316799566  -0.2765514037   0.0822756417
   2.9594701218   2.0778065843   0.9316660751  -0.2766504412   0.0822660254
   2.9593849344   2.0783134548   0.9316521536  -0.2767494730   0.0822564971
   2.9592997485   2.0788201317   0.9316381921  -0.2768484992   0.0822470564
   2.9592145640   2.0793266144   0.9316241907  -0.2769475198   0.0822377031
   2.9591293810   2.0798329026   0.9316101495  -0.2770465348   0.0822284371
   2.9590441993   2.0803389959   0.9315960687  -0.2771455441   0.0822192580
   2.9589590191   2.0808448940   0.9315819482  -0.2772445478   0.0822101657
   2.9588738402   2.0813505965   0.9315677883  -0.2773435458   0.0822011598
   2.9587886628   2.0818561029   0.9315535889  -0.2774425382   0.0821922402
   2.9587034868   2.0823614130   0.9315393502  -0.2775415250   0.0821834065
   2.9586183122   2.0828665263   0.9315250724  -0.2776405061   0.0821746586
   2.9585331389   2.0833714425   0.9315107554  -0.2777394815   0.0821659963
   2.9584479671   2.0838761612   0.9314963994  -0.2778384514   0.0821574192
   2.9583627966   2.0843806820   0.9314820044  -0.2779374155   0.0821489271
   2.9582776276   2.0848850046   0.9314675706  -0.2780363740   0.0821405199
   2.9581924599   2.0853891286   0.9314530981  -0.2781353269   0.0821321972
   2.9581072935   2.0858930537   0.9314385870  -0.2782342741   0.0821239588
   2.9580221286   2.0863967795   0.9314240373  -0.2783332156   0.0821158045
   2.9579369650   2.0869003056   0.9314094492  -0.2784321515   0.0821077341
   2.9578518027   2.0874036317   0.9313948226  -0.2785310817   0.0820997474
   2.9577666404   2.0879067881   0.9313801485  -0.2786300062   0.0820918656
   2.9576814820   2.0884097067   0.9313654456  -0.2787289237   0.0820840459
   2.9575963232   2.0889124420   0.9313507011  -0.2788278369   0.0820763166
   2.9575111667   2.0894149627   0.9313359220  -0.2789267439   0.0820686624
   2.9574260112   2.0899172842   0.9313211048  -0.2790256458   0.0820610908
   2.9573408569   2.0904194037   0.9313062499  -0.2791245420   0.0820536014
   2.9572557040   2.0909213209   0.9312913572  -0.2792234325   0.0820461940
   2.9571705524   2.0914230354   0.9312764268  -0.2793223173   0.0820388685
   2.9570854021   2.0919245469   0.9312614589  -0.2794211964   0.0820316245
   2.9570002531   2.0924258551   0.9312464536  -0.2795200699   0.0820244619
   2.9569151054   2.0929269597   0.9312314108  -0.2796189377   0.0820173805
   2.9568299604   2.0934278306   0.9312163400  -0.2797177998   0.0820103588
   2.9567448141   2.0939285337   0.9312012226  -0.2798166576   0.0820034386
   2.9566596701   2.0944290278   0.9311860676  -0.2799155083   0.0819966010
   2.9565745276   2.0949293140   0.9311708763  -0.2800143533   0.0819898417
   2.9564893858   2.0954294076   0.9311556444  -0.2801131927   0.0819831710
   2.9564042462   2.0959292810   0.9311403794  -0.2802120258   0.0819765717
   2.9563191072   2.0964289543   0.9311250766  -0.2803108538   0.0819700541
   2.9562339697   2.0969284181   0.9311097380  -0.2804096760   0.0819636139
   2.9561488334   2.0974276763   0.9310943628  -0.2805084927   0.0819572530
   2.9560636969   2.0979267570   0.9310789420  -0.2806073036   0.0819509921
   2.9559785642   2.0984255947   0.9310634939  -0.2807061075   0.0819447892
   2.9558934323   2.0989242156   0.9310480145  -0.2808049070   0.0819386527
   2.9558083001   2.0994226495   0.9310324936  -0.2809037017   0.0819326064
   2.9557231708   2.0999208528   0.9310169424  -0.2810024899   0.0819266249
   2.9556380394   2.1004189042   0.9310013389  -0.2811012733   0.0819207583
   2.9555529129   2.1009167017   0.9309857100  -0.2812000484   0.0819149461
   2.9554677862   2.1014142991   0.9309700449  -0.2812988196   0.0819092113
   2.9553826606   2.1019116874   0.9309543439  -0.2813975850   0.0819035539
   2.9552975363   2.1024088665   0.9309386071  -0.2814963447   0.0818979735
   2.9552124131   2.1029058363   0.9309228347  -0.2815950987   0.0818924701
   2.9551272911   2.1034025963   0.9309070266  -0.2816938470   0.0818870434
   2.9550421702   2.1038991464   0.9308911830  -0.2817925896   0.0818816933
   2.9549570504   2.1043954863   0.9308753039  -0.2818913265   0.0818764194
   2.9548719318   2.1048916157   0.9308593894  -0.2819900578   0.0818712216
   2.9547868143   2.1053875344   0.9308434397  -0.2820887833   0.0818660998
   2.9547016979   2.1058832421   0.9308274547  -0.2821875031   0.0818610536
   2.9546165826   2.1063787386   0.9308114346  -0.2822862172   0.0818560830
   2.9545314684   2.1068740236   0.9307953794  -0.2823849257   0.0818511877
   2.9544463553   2.1073690969   0.9307792892  -0.2824836284   0.0818463675
