CREATION_DATE            =      2018-05-27T22:26:32
ORIGINATOR               =      ASTOS SOLUTIONS GMBH

META_START
NAME FIRST PRIMARY       =      Earth
MASS FIRST PRIMARY       =      5.972370e+24
NAME SECOND PRIMARY      =      Moon
MASS SECOND PRIMARY      =      7.342000e+22
PRIMARY DISTANCE         =      3.844020e+08
MASS RATIO               =      0.0121439878
LAGRANGIAN               =      L2
ORBIT NUMBER             =      321
ORBIT DISTANCE           =      0.001000
META_STOP

DATA_START
        JC           Period           x              z            dy/dt
   3.0352118456   2.0183280008   1.0586512915  -0.1990862878  -0.1701681075
   3.0353944287   2.0041342572   1.0576863988  -0.1988145799  -0.1687205815
   3.0355900040   1.9900169076   1.0567240191  -0.1985340007  -0.1672601445
   3.0357983751   1.9759776921   1.0557641882  -0.1982447605  -0.1657869854
   3.0360193891   1.9620176152   1.0548069316  -0.1979470141  -0.1643012785
   3.0362528635   1.9481382132   1.0538522866  -0.1976409510  -0.1628032106
   3.0364986590   1.9343402409   1.0529002754  -0.1973267059  -0.1612929474
   3.0367566050   1.9206250416   1.0519509335  -0.1970044511  -0.1597706689
   3.0370265719   1.9069932027   1.0510042805  -0.1966743072  -0.1582365329
   3.0373083920   1.8934459803   1.0500603499  -0.1963364396  -0.1566907128
   3.0376019641   1.8799835780   1.0491191563  -0.1959909348  -0.1551333483
   3.0379071464   1.8666069029   1.0481807393  -0.1956379235  -0.1535646329
   3.0382238512   1.8533160649   1.0472451202  -0.1952774757  -0.1519847136
   3.0385519125   1.8401123395   1.0463123409  -0.1949097501  -0.1503937747
   3.0388912733   1.8269952724   1.0453824065  -0.1945347796  -0.1487919389
   3.0392418142   1.8139656484   1.0444553698  -0.1941526682  -0.1471794082
   3.0396034554   1.8010234765   1.0435312535  -0.1937634746  -0.1455563338
   3.0399761249   1.7881688338   1.0426100975  -0.1933672488  -0.1439228953
   3.0403597522   1.7754018014   1.0416919444  -0.1929640391  -0.1422792779
